INFO: STARTING!
INFO: Log parameter values verbosely: [0]
INFO: Min num runs: [10]
INFO: Num threads: [1]
INFO: Graph: [/home/jovyan/tflite_models/ResNet152.tflite]
INFO: Signature to run: []
INFO: Enable op profiling: [1]
INFO: #threads used for CPU inference: [1]
INFO: Loaded model /home/jovyan/tflite_models/ResNet152.tflite
INFO: The input model file size (MB): 240.571
INFO: Initialized session in 586.382ms.
INFO: Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
INFO: count=1 curr=697941 p5=697941 median=697941 p95=697941

INFO: Running benchmark for at least 10 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
INFO: count=10 first=687280 curr=683452 min=682607 max=687473 avg=684591 std=1609 p5=682607 median=684310 p95=687473

INFO: Inference timings in us: Init: 586382, First inference: 697941, Warmup (avg): 697941, Inference (avg): 684591
INFO: Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
INFO: Memory footprint delta from the start of the tool (MB): init=570.246 overall=571.746
INFO: Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	           Convolution (NHWC, F32) IGEMM	    6.817	    6.827	  0.998%	 50.329%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:122
	          Fully Connected (NC, F32) GEMM	    2.826	    2.828	  0.413%	 50.742%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:123
	                 Binary Elementwise (ND)	    0.137	    0.142	  0.021%	 50.763%	     0.000	        1	Delegate/Binary Elementwise (ND):124
	                  Unary Elementwise (NC)	    0.054	    0.056	  0.008%	 50.771%	     0.000	        1	Delegate/Unary Elementwise (NC):125
	          Fully Connected (NC, F32) GEMM	    2.820	    2.832	  0.414%	 51.185%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:126
	           Convolution (NHWC, F32) IGEMM	    6.850	    6.776	  0.990%	 52.175%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:127
	          Fully Connected (NC, F32) GEMM	    2.821	    2.819	  0.412%	 52.587%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:128
	                 Binary Elementwise (ND)	    0.131	    0.134	  0.020%	 52.606%	     0.000	        1	Delegate/Binary Elementwise (ND):129
	                  Unary Elementwise (NC)	    0.055	    0.054	  0.008%	 52.614%	     0.000	        1	Delegate/Unary Elementwise (NC):130
	          Fully Connected (NC, F32) GEMM	    2.840	    2.835	  0.414%	 53.029%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:131
	           Convolution (NHWC, F32) IGEMM	    6.767	    6.724	  0.983%	 54.011%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:132
	          Fully Connected (NC, F32) GEMM	    2.819	    3.092	  0.452%	 54.463%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:133
	                 Binary Elementwise (ND)	    0.132	    0.162	  0.024%	 54.486%	     0.000	        1	Delegate/Binary Elementwise (ND):134
	                  Unary Elementwise (NC)	    0.057	    0.073	  0.011%	 54.497%	     0.000	        1	Delegate/Unary Elementwise (NC):135
	          Fully Connected (NC, F32) GEMM	    2.839	    2.906	  0.425%	 54.922%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:136
	           Convolution (NHWC, F32) IGEMM	    6.714	    6.771	  0.989%	 55.911%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:137
	          Fully Connected (NC, F32) GEMM	    2.831	    2.831	  0.414%	 56.325%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:138
	                 Binary Elementwise (ND)	    0.148	    0.155	  0.023%	 56.347%	     0.000	        1	Delegate/Binary Elementwise (ND):139
	                  Unary Elementwise (NC)	    0.057	    0.059	  0.009%	 56.356%	     0.000	        1	Delegate/Unary Elementwise (NC):140
	          Fully Connected (NC, F32) GEMM	    2.838	    2.852	  0.417%	 56.773%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:141
	           Convolution (NHWC, F32) IGEMM	    6.726	    6.765	  0.989%	 57.761%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:142
